Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Menu and other services,,,,2023-08-16 22:48:26,2023-08-16 22:51:45,3m - 19.664s,PASSED
,,,,,,,
Test Cases/User Managemenet/Login,,,,2023-08-16 22:48:26,2023-08-16 22:49:37,1m - 10.528s,PASSED
"startApplication(APK, false)",,,,2023-08-16 22:48:28,2023-08-16 22:48:51,23.012s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - username""), LoginCreds.get(""username""), 30)",,,,2023-08-16 22:48:51,2023-08-16 22:49:21,30.577s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - password""), LoginCreds.get(""password""), 30)",,,,2023-08-16 22:49:21,2023-08-16 22:49:23,1.254s,PASSED
"tap(findTestObject(""User Management/Login/android.view.ViewGroup - sign in""), 30)",,,,2023-08-16 22:49:23,2023-08-16 22:49:23,0.791s,PASSED
"tap(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Katalon""), 30)",,,,2023-08-16 22:49:23,2023-08-16 22:49:25,1.844s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-08-16 22:49:25,2023-08-16 22:49:27,2.112s,PASSED
"verifyElementExist(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Patient Directory""), 30)",,,,2023-08-16 22:49:27,2023-08-16 22:49:37,9.521s,PASSED
,,,,,,,
Test Cases/Menu and other services/Switch between sites,,,,2023-08-16 22:49:37,2023-08-16 22:50:16,39.465s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-08-16 22:49:38,2023-08-16 22:49:38,0.394s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-08-16 22:49:38,2023-08-16 22:49:40,1.688s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Test1""), 30)",,,,2023-08-16 22:49:40,2023-08-16 22:49:41,0.923s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-08-16 22:49:41,2023-08-16 22:49:58,17.074s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-08-16 22:49:58,2023-08-16 22:50:00,2.228s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - site user""), 30)",,,,2023-08-16 22:50:00,2023-08-16 22:50:01,0.910s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-08-16 22:50:01,2023-08-16 22:50:14,12.815s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-08-16 22:50:14,2023-08-16 22:50:16,1.667s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Katalon""), 30)",,,,2023-08-16 22:50:16,2023-08-16 22:50:16,0.868s,PASSED
,,,,,,,
Test Cases/Menu and other services/About,,,,2023-08-16 22:50:16,2023-08-16 22:50:31,14.527s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/About/android.widget.ImageView - Menu""), 30)",,,,2023-08-16 22:50:18,2023-08-16 22:50:24,6.013s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/About/android.widget.TextView - About""), 30)",,,,2023-08-16 22:50:24,2023-08-16 22:50:25,1.678s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/About/android.widget.TextView - Katalon""), ""Katalon"")",,,,2023-08-16 22:50:25,2023-08-16 22:50:27,1.225s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/About/android.widget.TextView - Katalon (1)""), ""Katalon"")",,,,2023-08-16 22:50:27,2023-08-16 22:50:27,0.374s,PASSED
"scrollToText(""UDI"")",,,,2023-08-16 22:50:27,2023-08-16 22:50:30,3.470s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/About/android.widget.TextView - 2.1""), ""2.1"")",,,,2023-08-16 22:50:30,2023-08-16 22:50:31,0.301s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/About/android.widget.ImageView - close""), 30)",,,,2023-08-16 22:50:31,2023-08-16 22:50:31,0.315s,PASSED
,,,,,,,
Test Cases/Menu and other services/Automatic adjustment of Date format,,,,2023-08-16 22:50:31,2023-08-16 22:50:45,13.839s,PASSED
"date = getText(findTestObject(""Object Repository/Menu and other services/Automatic adjustment of Date format/android.widget.TextView - 27072023""), 30, STOP_ON_FAILURE)",,,,2023-08-16 22:50:32,2023-08-16 22:50:32,0.365s,PASSED
"verifyMatch(date, ""[0-9]{2}/[0-9]{2}/[0-9]{4}"", true, STOP_ON_FAILURE)",,,,2023-08-16 22:50:32,2023-08-16 22:50:32,0.022s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Automatic adjustment of Date format/android.widget.ImageView - Menu""), 30)",,,,2023-08-16 22:50:32,2023-08-16 22:50:33,0.386s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Automatic adjustment of Date format/android.widget.TextView - Site""), 30)",,,,2023-08-16 22:50:33,2023-08-16 22:50:34,1.668s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Automatic adjustment of Date format/android.widget.TextView - site user""), 30)",,,,2023-08-16 22:50:34,2023-08-16 22:50:35,0.940s,PASSED
"date1 = getText(findTestObject(""Menu and other services/Automatic adjustment of Date format/android.widget.TextView - 20230814""), 30)",,,,2023-08-16 22:50:35,2023-08-16 22:50:42,6.722s,PASSED
"verifyMatch(date1, ""[0-9]{4}/[0-9]{2}/[0-9]{2}"", true, STOP_ON_FAILURE)",,,,2023-08-16 22:50:42,2023-08-16 22:50:42,0.003s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Automatic adjustment of Date format/android.widget.ImageView - Menu""), 30)",,,,2023-08-16 22:50:42,2023-08-16 22:50:42,0.336s,PASSED
"tap(findTestObject(""Menu and other services/Automatic adjustment of Date format/android.widget.TextView - Site""), 30)",,,,2023-08-16 22:50:42,2023-08-16 22:50:44,1.687s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Automatic adjustment of Date format/android.widget.TextView - Katalon""), 30)",,,,2023-08-16 22:50:44,2023-08-16 22:50:45,0.901s,PASSED
,,,,,,,
Test Cases/Menu and other services/Phone general tuto,,,,2023-08-16 22:50:45,2023-08-16 22:50:59,14.183s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Phone General Tuto/android.widget.ImageView - Menu""), 30)",,,,2023-08-16 22:50:46,2023-08-16 22:50:52,6.271s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Phone General Tuto/android.widget.TextView - Help""), 30)",,,,2023-08-16 22:50:52,2023-08-16 22:50:54,1.652s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Phone General Tuto/android.widget.TextView - App Intro""), 30)",,,,2023-08-16 22:50:54,2023-08-16 22:50:54,0.917s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Menu and other services/Phone General Tuto/android.view.ViewGroup - Tuto""), 30)",,,,2023-08-16 22:50:54,2023-08-16 22:50:56,1.648s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Menu and other services/Phone General Tuto/android.widget.TextView - Welcome to inSight""), 30)",,,,2023-08-16 22:50:56,2023-08-16 22:50:56,0.356s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Menu and other services/Phone General Tuto/android.widget.TextView - Skip""), 30)",,,,2023-08-16 22:50:56,2023-08-16 22:50:57,0.412s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Menu and other services/Phone General Tuto/android.widget.TextView - next""), 30)",,,,2023-08-16 22:50:57,2023-08-16 22:50:57,0.318s,PASSED
"tap(findTestObject(""Menu and other services/Phone General Tuto/android.widget.TextView - next""), 30)",,,,2023-08-16 22:50:57,2023-08-16 22:50:58,0.398s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Phone General Tuto/android.widget.TextView - Add a wound""), ""Add a wound"")",,,,2023-08-16 22:50:58,2023-08-16 22:50:59,1.004s,PASSED
"tap(findTestObject(""Menu and other services/Phone General Tuto/android.widget.TextView - Skip""), 30)",,,,2023-08-16 22:50:59,2023-08-16 22:50:59,0.398s,PASSED
,,,,,,,
Test Cases/Menu and other services/Language,,,,2023-08-16 22:50:59,2023-08-16 22:51:23,23.468s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.widget.ImageView - Menu""), 30)",,,,2023-08-16 22:51:00,2023-08-16 22:51:00,0.347s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Settings""), 30)",,,,2023-08-16 22:51:00,2023-08-16 22:51:02,1.691s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - English""), 30)",,,,2023-08-16 22:51:02,2023-08-16 22:51:04,1.677s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Deutsch""), 30)",,,,2023-08-16 22:51:04,2023-08-16 22:51:05,0.917s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.view.ViewGroup""), 30)",,,,2023-08-16 22:51:05,2023-08-16 22:51:12,7.126s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Geschlecht""), ""Geschlecht"")",,,,2023-08-16 22:51:12,2023-08-16 22:51:14,1.976s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Geburtstag""), ""Geburtstag"")",,,,2023-08-16 22:51:14,2023-08-16 22:51:14,0.393s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Alter""), ""Alter"")",,,,2023-08-16 22:51:14,2023-08-16 22:51:14,0.385s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Zustimmung""), ""Zustimmung"")",,,,2023-08-16 22:51:14,2023-08-16 22:51:15,0.332s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.widget.ImageView - Back""), 30)",,,,2023-08-16 22:51:15,2023-08-16 22:51:15,0.405s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.widget.ImageView - Menu (1)""), 30)",,,,2023-08-16 22:51:15,2023-08-16 22:51:16,0.890s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Seite""), ""Seite"")",,,,2023-08-16 22:51:16,2023-08-16 22:51:18,1.607s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Offene Telegesundheit""), ""Offene Telegesundheit"")",,,,2023-08-16 22:51:18,2023-08-16 22:51:18,0.361s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Hilfe""), ""Hilfe"")",,,,2023-08-16 22:51:18,2023-08-16 22:51:18,0.379s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - ber uns""), ""Über uns"")",,,,2023-08-16 22:51:18,2023-08-16 22:51:19,0.351s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Einstellungen""), ""Einstellungen"")",,,,2023-08-16 22:51:19,2023-08-16 22:51:19,0.382s,PASSED
