Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Menu and other services,,,,2023-08-17 10:35:52,2023-08-17 10:38:33,2m - 40.779s,PASSED
,,,,,,,
Test Cases/User Managemenet/Login,,,,2023-08-17 10:35:53,2023-08-17 10:36:39,46.772s,PASSED
"startApplication(APK, false)",,,,2023-08-17 10:35:54,2023-08-17 10:36:23,29.289s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - username""), LoginCreds.get(""username""), 30)",,,,2023-08-17 10:36:23,2023-08-17 10:36:30,7.105s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - password""), LoginCreds.get(""password""), 30)",,,,2023-08-17 10:36:30,2023-08-17 10:36:31,1.257s,PASSED
"tap(findTestObject(""User Management/Login/android.view.ViewGroup - sign in""), 30)",,,,2023-08-17 10:36:31,2023-08-17 10:36:32,0.996s,PASSED
"tap(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Katalon""), 30)",,,,2023-08-17 10:36:32,2023-08-17 10:36:34,1.615s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-08-17 10:36:34,2023-08-17 10:36:36,2.082s,PASSED
"verifyElementExist(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Patient Directory""), 30)",,,,2023-08-17 10:36:36,2023-08-17 10:36:39,3.341s,PASSED
,,,,,,,
Test Cases/Menu and other services/Switch between sites,,,,2023-08-17 10:36:39,2023-08-17 10:37:02,22.634s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-08-17 10:36:40,2023-08-17 10:36:41,0.491s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-08-17 10:36:41,2023-08-17 10:36:43,1.702s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Test1""), 30)",,,,2023-08-17 10:36:43,2023-08-17 10:36:44,0.986s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-08-17 10:36:44,2023-08-17 10:36:50,6.459s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-08-17 10:36:50,2023-08-17 10:36:52,1.697s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - site user""), 30)",,,,2023-08-17 10:36:52,2023-08-17 10:36:53,0.866s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-08-17 10:36:53,2023-08-17 10:37:00,6.971s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-08-17 10:37:00,2023-08-17 10:37:01,1.623s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Katalon""), 30)",,,,2023-08-17 10:37:01,2023-08-17 10:37:02,0.849s,PASSED
,,,,,,,
Test Cases/Menu and other services/About,,,,2023-08-17 10:37:02,2023-08-17 10:37:17,14.932s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/About/android.widget.ImageView - Menu""), 30)",,,,2023-08-17 10:37:03,2023-08-17 10:37:09,6.395s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/About/android.widget.TextView - About""), 30)",,,,2023-08-17 10:37:09,2023-08-17 10:37:11,1.680s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/About/android.widget.TextView - Katalon""), ""Katalon"")",,,,2023-08-17 10:37:11,2023-08-17 10:37:12,1.275s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/About/android.widget.TextView - Katalon (1)""), ""Katalon"")",,,,2023-08-17 10:37:12,2023-08-17 10:37:13,0.386s,PASSED
"scrollToText(""UDI"")",,,,2023-08-17 10:37:13,2023-08-17 10:37:16,3.700s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/About/android.widget.TextView - 2.1""), ""2.1"")",,,,2023-08-17 10:37:16,2023-08-17 10:37:17,0.364s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/About/android.widget.ImageView - close""), 30)",,,,2023-08-17 10:37:17,2023-08-17 10:37:17,0.330s,PASSED
,,,,,,,
Test Cases/Menu and other services/Automatic adjustment of Date format,,,,2023-08-17 10:37:17,2023-08-17 10:37:31,14.084s,PASSED
"date = getText(findTestObject(""Object Repository/Menu and other services/Automatic adjustment of Date format/android.widget.TextView - 27072023""), 30, STOP_ON_FAILURE)",,,,2023-08-17 10:37:18,2023-08-17 10:37:18,0.355s,PASSED
"verifyMatch(date, ""[0-9]{2}/[0-9]{2}/[0-9]{4}"", true, STOP_ON_FAILURE)",,,,2023-08-17 10:37:18,2023-08-17 10:37:18,0.032s,PASSED
