Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Menu and other services,,,,2023-07-31 11:44:15,2023-07-31 11:46:35,2m - 19.885s,PASSED
,,,,,,,
Test Cases/User Managemenet/Login,,,,2023-07-31 11:44:16,2023-07-31 11:45:03,47.081s,PASSED
"startApplication(""C:\Users\Amarir\Downloads\APK\IS\app-release.apk"", true)",,,,2023-07-31 11:44:17,2023-07-31 11:44:52,35.088s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - username""), LoginCreds.get(""username""), 30)",,,,2023-07-31 11:44:52,2023-07-31 11:44:57,4.727s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - password""), LoginCreds.get(""password""), 30)",,,,2023-07-31 11:44:57,2023-07-31 11:44:58,1.281s,PASSED
"tap(findTestObject(""User Management/Login/android.view.ViewGroup - sign in""), 30)",,,,2023-07-31 11:44:58,2023-07-31 11:44:59,0.792s,PASSED
"tap(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Katalon""), 30)",,,,2023-07-31 11:44:59,2023-07-31 11:45:00,1.639s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-07-31 11:45:00,2023-07-31 11:45:03,2.055s,PASSED
"verifyElementExist(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Patient Directory""), 30)",,,,2023-07-31 11:45:03,2023-07-31 11:45:03,0.580s,PASSED
,,,,,,,
Test Cases/Menu and other services/Switch between sites,,,,2023-07-31 11:45:03,2023-07-31 11:45:20,17.175s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-07-31 11:45:04,2023-07-31 11:45:04,0.400s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-07-31 11:45:04,2023-07-31 11:45:06,1.805s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Test1""), 30)",,,,2023-07-31 11:45:06,2023-07-31 11:45:07,1.069s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-07-31 11:45:07,2023-07-31 11:45:11,4.112s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-07-31 11:45:11,2023-07-31 11:45:13,1.703s,PASSED
