Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Menu and other services,,,,2023-08-13 17:37:21,2023-08-13 17:40:24,3m - 2.855s,PASSED
,,,,,,,
Test Cases/User Managemenet/Login,,,,2023-08-13 17:37:22,2023-08-13 17:38:16,53.227s,PASSED
"startApplication(APK, false)",,,,2023-08-13 17:37:24,2023-08-13 17:38:00,36.160s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - username""), LoginCreds.get(""username""), 30)",,,,2023-08-13 17:38:00,2023-08-13 17:38:03,3.746s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - password""), LoginCreds.get(""password""), 30)",,,,2023-08-13 17:38:03,2023-08-13 17:38:05,1.277s,PASSED
"tap(findTestObject(""User Management/Login/android.view.ViewGroup - sign in""), 30)",,,,2023-08-13 17:38:05,2023-08-13 17:38:06,0.825s,PASSED
"tap(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Katalon""), 30)",,,,2023-08-13 17:38:06,2023-08-13 17:38:08,2.471s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-08-13 17:38:08,2023-08-13 17:38:10,2.078s,PASSED
"verifyElementExist(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Patient Directory""), 30)",,,,2023-08-13 17:38:10,2023-08-13 17:38:16,5.396s,PASSED
,,,,,,,
Test Cases/Menu and other services/Switch between sites,,,,2023-08-13 17:38:16,2023-08-13 17:38:39,23.857s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-08-13 17:38:17,2023-08-13 17:38:17,0.481s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-08-13 17:38:17,2023-08-13 17:38:19,1.855s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Test1""), 30)",,,,2023-08-13 17:38:19,2023-08-13 17:38:20,1.007s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-08-13 17:38:20,2023-08-13 17:38:27,7.182s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-08-13 17:38:27,2023-08-13 17:38:29,1.689s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - site user""), 30)",,,,2023-08-13 17:38:29,2023-08-13 17:38:30,0.834s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-08-13 17:38:30,2023-08-13 17:38:37,7.117s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-08-13 17:38:37,2023-08-13 17:38:39,1.739s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Katalon""), 30)",,,,2023-08-13 17:38:39,2023-08-13 17:38:39,0.861s,PASSED
,,,,,,,
Test Cases/Menu and other services/About,,,,2023-08-13 17:38:39,2023-08-13 17:38:57,17.895s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/About/android.widget.ImageView - Menu""), 30)",,,,2023-08-13 17:38:41,2023-08-13 17:38:49,7.841s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/About/android.widget.TextView - About""), 30)",,,,2023-08-13 17:38:49,2023-08-13 17:38:51,1.884s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/About/android.widget.TextView - Katalon""), ""Katalon"")",,,,2023-08-13 17:38:51,2023-08-13 17:38:52,1.253s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/About/android.widget.TextView - Katalon (1)""), ""Katalon"")",,,,2023-08-13 17:38:52,2023-08-13 17:38:52,0.374s,PASSED
"scrollToText(""UDI"")",,,,2023-08-13 17:38:52,2023-08-13 17:38:56,3.630s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/About/android.widget.TextView - 2.1""), ""2.1"")",,,,2023-08-13 17:38:56,2023-08-13 17:38:56,0.406s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/About/android.widget.ImageView - close""), 30)",,,,2023-08-13 17:38:56,2023-08-13 17:38:57,0.902s,PASSED
,,,,,,,
Test Cases/Menu and other services/Automatic adjustment of Date format,,,,2023-08-13 17:38:57,2023-08-13 17:39:14,16.590s,PASSED
"date = getText(findTestObject(""Object Repository/Menu and other services/Automatic adjustment of Date format/android.widget.TextView - 27072023""), 30, STOP_ON_FAILURE)",,,,2023-08-13 17:38:59,2023-08-13 17:38:59,0.610s,PASSED
"verifyMatch(date, ""[0-9]{2}/[0-9]{2}/[0-9]{4}"", true, STOP_ON_FAILURE)",,,,2023-08-13 17:38:59,2023-08-13 17:38:59,0.036s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Automatic adjustment of Date format/android.widget.ImageView - Menu""), 30)",,,,2023-08-13 17:38:59,2023-08-13 17:39:00,0.577s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Automatic adjustment of Date format/android.widget.TextView - Site""), 30)",,,,2023-08-13 17:39:00,2023-08-13 17:39:02,1.735s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Automatic adjustment of Date format/android.widget.TextView - site user""), 30)",,,,2023-08-13 17:39:02,2023-08-13 17:39:03,0.911s,PASSED
"date1 = getText(findTestObject(""Menu and other services/Automatic adjustment of Date format/android.widget.TextView - 20230727""), 30)",,,,2023-08-13 17:39:03,2023-08-13 17:39:11,8.162s,PASSED
"verifyMatch(date1, ""[0-9]{4}/[0-9]{2}/[0-9]{2}"", true, STOP_ON_FAILURE)",,,,2023-08-13 17:39:11,2023-08-13 17:39:11,0.003s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Automatic adjustment of Date format/android.widget.ImageView - Menu""), 30)",,,,2023-08-13 17:39:11,2023-08-13 17:39:11,0.367s,PASSED
"tap(findTestObject(""Menu and other services/Automatic adjustment of Date format/android.widget.TextView - Site""), 30)",,,,2023-08-13 17:39:11,2023-08-13 17:39:13,1.727s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Automatic adjustment of Date format/android.widget.TextView - Katalon""), 30)",,,,2023-08-13 17:39:13,2023-08-13 17:39:14,0.969s,PASSED
,,,,,,,
Test Cases/Menu and other services/Phone general tuto,,,,2023-08-13 17:39:14,2023-08-13 17:39:30,16.000s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Phone General Tuto/android.widget.ImageView - Menu""), 30)",,,,2023-08-13 17:39:15,2023-08-13 17:39:23,7.749s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Phone General Tuto/android.widget.TextView - Help""), 30)",,,,2023-08-13 17:39:23,2023-08-13 17:39:24,1.737s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Phone General Tuto/android.widget.TextView - App Intro""), 30)",,,,2023-08-13 17:39:24,2023-08-13 17:39:25,0.900s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Menu and other services/Phone General Tuto/android.view.ViewGroup - Tuto""), 30)",,,,2023-08-13 17:39:25,2023-08-13 17:39:27,1.704s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Menu and other services/Phone General Tuto/android.widget.TextView - Welcome to inSight""), 30)",,,,2023-08-13 17:39:27,2023-08-13 17:39:27,0.345s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Menu and other services/Phone General Tuto/android.widget.TextView - Skip""), 30)",,,,2023-08-13 17:39:27,2023-08-13 17:39:28,0.347s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Menu and other services/Phone General Tuto/android.widget.TextView - next""), 30)",,,,2023-08-13 17:39:28,2023-08-13 17:39:28,0.377s,PASSED
"tap(findTestObject(""Menu and other services/Phone General Tuto/android.widget.TextView - next""), 30)",,,,2023-08-13 17:39:28,2023-08-13 17:39:28,0.411s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Phone General Tuto/android.widget.TextView - Add a wound""), ""Add a wound"")",,,,2023-08-13 17:39:28,2023-08-13 17:39:29,1.053s,PASSED
"tap(findTestObject(""Menu and other services/Phone General Tuto/android.widget.TextView - Skip""), 30)",,,,2023-08-13 17:39:29,2023-08-13 17:39:30,0.464s,PASSED
,,,,,,,
Test Cases/Menu and other services/Language,,,,2023-08-13 17:39:30,2023-08-13 17:39:59,28.688s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.widget.ImageView - Menu""), 30)",,,,2023-08-13 17:39:31,2023-08-13 17:39:31,0.441s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Settings""), 30)",,,,2023-08-13 17:39:31,2023-08-13 17:39:33,1.748s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - English""), 30)",,,,2023-08-13 17:39:33,2023-08-13 17:39:35,1.817s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Deutsch""), 30)",,,,2023-08-13 17:39:35,2023-08-13 17:39:36,1.001s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.view.ViewGroup""), 30)",,,,2023-08-13 17:39:36,2023-08-13 17:39:45,9.045s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Geschlecht""), ""Geschlecht"")",,,,2023-08-13 17:39:45,2023-08-13 17:39:48,3.019s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Geburtstag""), ""Geburtstag"")",,,,2023-08-13 17:39:48,2023-08-13 17:39:48,0.372s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Alter""), ""Alter"")",,,,2023-08-13 17:39:48,2023-08-13 17:39:49,0.359s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Zustimmung""), ""Zustimmung"")",,,,2023-08-13 17:39:49,2023-08-13 17:39:50,0.937s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.widget.ImageView - Back""), 30)",,,,2023-08-13 17:39:50,2023-08-13 17:39:50,0.469s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.widget.ImageView - Menu (1)""), 30)",,,,2023-08-13 17:39:50,2023-08-13 17:39:51,0.869s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Seite""), ""Seite"")",,,,2023-08-13 17:39:51,2023-08-13 17:39:53,1.665s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Offene Telegesundheit""), ""Offene Telegesundheit"")",,,,2023-08-13 17:39:53,2023-08-13 17:39:53,0.420s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Hilfe""), ""Hilfe"")",,,,2023-08-13 17:39:53,2023-08-13 17:39:54,0.417s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - ber uns""), ""Über uns"")",,,,2023-08-13 17:39:54,2023-08-13 17:39:55,0.961s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Einstellungen""), ""Einstellungen"")",,,,2023-08-13 17:39:55,2023-08-13 17:39:55,0.405s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Ausloggen""), ""Ausloggen"")",,,,2023-08-13 17:39:55,2023-08-13 17:39:55,0.447s,PASSED
"tap(findTestObject(""Menu and other services/Language/android.widget.TextView - Einstellungen""), 30)",,,,2023-08-13 17:39:55,2023-08-13 17:39:56,0.472s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - Deutsch (1)""), 30)",,,,2023-08-13 17:39:56,2023-08-13 17:39:58,1.773s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.widget.TextView - English (1)""), 30)",,,,2023-08-13 17:39:58,2023-08-13 17:39:59,0.987s,PASSED
,,,,,,,
Test Cases/Menu and other services/Help,,,,2023-08-13 17:39:59,2023-08-13 17:40:24,25.706s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Help/android.widget.ImageView - Menu""), 30)",,,,2023-08-13 17:39:59,2023-08-13 17:40:08,8.285s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Help/android.widget.TextView - Help""), 30)",,,,2023-08-13 17:40:08,2023-08-13 17:40:09,1.723s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Help/android.widget.TextView - Help Center""), 30)",,,,2023-08-13 17:40:09,2023-08-13 17:40:10,0.929s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Help/android.widget.TextView - Support""), ""Support"")",,,,2023-08-13 17:40:10,2023-08-13 17:40:11,0.940s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Help/android.widget.TextView - Critical Notifications""), ""Critical Notifications"")",,,,2023-08-13 17:40:11,2023-08-13 17:40:14,2.281s,PASSED
pressBack(),,,,2023-08-13 17:40:14,2023-08-13 17:40:14,0.779s,PASSED
"tap(findTestObject(""Menu and other services/Help/android.widget.TextView - Help""), 30)",,,,2023-08-13 17:40:14,2023-08-13 17:40:15,0.847s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Help/android.widget.TextView - Send device info""), 30)",,,,2023-08-13 17:40:15,2023-08-13 17:40:16,0.874s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Help/android.widget.TextView - Device hardware and software information will be sent to eKare for troubleshooting""), ""Device hardware and software information will be sent to eKare for troubleshooting"")",,,,2023-08-13 17:40:16,2023-08-13 17:40:17,0.771s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Menu and other services/Help/android.widget.Button - CANCEL""), 30)",,,,2023-08-13 17:40:17,2023-08-13 17:40:17,0.274s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Menu and other services/Help/android.widget.Button - PROCEED""), 30)",,,,2023-08-13 17:40:17,2023-08-13 17:40:17,0.250s,PASSED
"tap(findTestObject(""Menu and other services/Help/android.widget.Button - PROCEED""), 30)",,,,2023-08-13 17:40:17,2023-08-13 17:40:18,0.327s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Help/android.widget.TextView - Information sent successfully""), ""Information sent successfully"")",,,,2023-08-13 17:40:18,2023-08-13 17:40:20,2.477s,PASSED
