Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User Management,,,,2023-08-14 15:05:00,2023-08-14 15:13:03,8m - 3.261s,PASSED
,,,,,,,
Test Cases/User Managemenet/Privacy Terms and Conditions,,,,2023-08-14 15:05:01,2023-08-14 15:08:07,3m - 6.209s,PASSED
"startApplication(APK, true)",,,,2023-08-14 15:05:02,2023-08-14 15:05:51,48.691s,PASSED
"verifyElementText(findTestObject(""Object Repository/User Management/Privacy Terms and conditions/android.widget.TextView - Terms  Conditions""), ""Terms & Conditions"")",,,,2023-08-14 15:05:51,2023-08-14 15:06:21,30.502s,PASSED
"verifyElementText(findTestObject(""Object Repository/User Management/Privacy Terms and conditions/android.widget.TextView - Privacy Policy""), ""Privacy Policy"")",,,,2023-08-14 15:06:21,2023-08-14 15:06:52,30.302s,PASSED
"tap(findTestObject(""User Management/Privacy Terms and conditions/android.widget.TextView - Terms  Conditions""), 30)",,,,2023-08-14 15:06:52,2023-08-14 15:07:22,30.378s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-08-14 15:07:22,2023-08-14 15:07:27,5.175s,PASSED
"verifyElementText(findTestObject(""User Management/Privacy Terms and conditions/android.widget.TextView - Terms and Conditions""), ""Terms and Conditions"")",,,,2023-08-14 15:07:27,2023-08-14 15:07:28,0.648s,PASSED
pressBack(),,,,2023-08-14 15:07:28,2023-08-14 15:07:29,1.102s,PASSED
"tap(findTestObject(""User Management/Privacy Terms and conditions/android.widget.TextView - Privacy Policy""), 30)",,,,2023-08-14 15:07:29,2023-08-14 15:08:00,30.482s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-08-14 15:08:00,2023-08-14 15:08:05,5.018s,PASSED
"verifyElementText(findTestObject(""Object Repository/User Management/Privacy Terms and conditions/android.widget.TextView - Privacy Policy (1)""), ""Privacy Policy"")",,,,2023-08-14 15:08:05,2023-08-14 15:08:06,1.550s,PASSED
pressBack(),,,,2023-08-14 15:08:06,2023-08-14 15:08:07,0.949s,PASSED
,,,,,,,
Test Cases/User Managemenet/Restore Password,,,,2023-08-14 15:08:07,2023-08-14 15:08:13,6.224s,PASSED
"tap(findTestObject(""Object Repository/User Management/Restore Password/android.widget.TextView - Forgot your password""), 30)",,,,2023-08-14 15:08:08,2023-08-14 15:08:09,0.818s,PASSED
"setText(findTestObject(""Object Repository/User Management/Restore Password/android.widget.EditText - username""), LoginCreds.get(""username""), 30)",,,,2023-08-14 15:08:09,2023-08-14 15:08:10,1.467s,PASSED
"setText(findTestObject(""Object Repository/User Management/Restore Password/android.widget.EditText - email""), LoginCreds.get(""email""), 30)",,,,2023-08-14 15:08:10,2023-08-14 15:08:12,1.288s,PASSED
"tap(findTestObject(""Object Repository/User Management/Restore Password/android.view.ViewGroup""), 30)",,,,2023-08-14 15:08:12,2023-08-14 15:08:13,0.810s,PASSED
pressBack(),,,,2023-08-14 15:08:13,2023-08-14 15:08:13,0.762s,PASSED
,,,,,,,
Test Cases/User Managemenet/10loginTestAttempts,,,,2023-08-14 15:08:13,2023-08-14 15:08:49,35.197s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - username""), ""Test10times"", 30)",,,,2023-08-14 15:08:15,2023-08-14 15:08:16,1.476s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - password""), ""123"", 30)",,,,2023-08-14 15:08:16,2023-08-14 15:08:17,1.296s,PASSED
"tap(findTestObject(""Object Repository/User Management/10loginAttempts/android.view.ViewGroup""), 30)",,,,2023-08-14 15:08:17,2023-08-14 15:08:18,0.791s,PASSED
"verifyElementText(findTestObject(""User Management/10loginAttempts/android.widget.TextView - Login failed. Incorrect credentials""), ""Login failed. Incorrect credentials !"")",,,,2023-08-14 15:08:18,2023-08-14 15:08:20,1.453s,PASSED
"tap(findTestObject(""Object Repository/User Management/10loginAttempts/android.widget.Button - OK""), 30)",,,,2023-08-14 15:08:20,2023-08-14 15:08:21,0.902s,PASSED
"tap(findTestObject(""User Management/10loginAttempts/android.view.ViewGroup""), 30)",,,,2023-08-14 15:08:21,2023-08-14 15:08:21,0.745s,PASSED
"verifyElementText(findTestObject(""User Management/10loginAttempts/android.widget.TextView - Login failed. Incorrect credentials""), ""Login failed. Incorrect credentials !"")",,,,2023-08-14 15:08:21,2023-08-14 15:08:23,1.403s,PASSED
"tap(findTestObject(""Object Repository/User Management/10loginAttempts/android.widget.Button - OK""), 30)",,,,2023-08-14 15:08:23,2023-08-14 15:08:23,0.447s,PASSED
"tap(findTestObject(""User Management/10loginAttempts/android.view.ViewGroup""), 30)",,,,2023-08-14 15:08:23,2023-08-14 15:08:24,1.233s,PASSED
"verifyElementText(findTestObject(""User Management/10loginAttempts/android.widget.TextView - Login failed. Incorrect credentials""), ""Login failed. Incorrect credentials !"")",,,,2023-08-14 15:08:24,2023-08-14 15:08:26,1.574s,PASSED
"tap(findTestObject(""Object Repository/User Management/10loginAttempts/android.widget.Button - OK""), 30)",,,,2023-08-14 15:08:26,2023-08-14 15:08:27,1.309s,PASSED
"tap(findTestObject(""User Management/10loginAttempts/android.view.ViewGroup""), 30)",,,,2023-08-14 15:08:27,2023-08-14 15:08:28,0.450s,PASSED
"verifyElementText(findTestObject(""User Management/10loginAttempts/android.widget.TextView - Login failed. Incorrect credentials""), ""Login failed. Incorrect credentials !"")",,,,2023-08-14 15:08:28,2023-08-14 15:08:29,1.270s,PASSED
"tap(findTestObject(""Object Repository/User Management/10loginAttempts/android.widget.Button - OK""), 30)",,,,2023-08-14 15:08:29,2023-08-14 15:08:29,0.480s,PASSED
"tap(findTestObject(""User Management/10loginAttempts/android.view.ViewGroup""), 30)",,,,2023-08-14 15:08:29,2023-08-14 15:08:30,0.786s,PASSED
"verifyElementText(findTestObject(""User Management/10loginAttempts/android.widget.TextView - Login failed. Incorrect credentials""), ""Login failed. Incorrect credentials !"")",,,,2023-08-14 15:08:30,2023-08-14 15:08:33,2.848s,PASSED
"tap(findTestObject(""Object Repository/User Management/10loginAttempts/android.widget.Button - OK""), 30)",,,,2023-08-14 15:08:33,2023-08-14 15:08:34,0.989s,PASSED
"tap(findTestObject(""User Management/10loginAttempts/android.view.ViewGroup""), 30)",,,,2023-08-14 15:08:34,2023-08-14 15:08:35,0.430s,PASSED
"verifyElementText(findTestObject(""User Management/10loginAttempts/android.widget.TextView - Login failed. Incorrect credentials""), ""Login failed. Incorrect credentials !"")",,,,2023-08-14 15:08:35,2023-08-14 15:08:36,1.239s,PASSED
"tap(findTestObject(""Object Repository/User Management/10loginAttempts/android.widget.Button - OK""), 30)",,,,2023-08-14 15:08:36,2023-08-14 15:08:37,0.978s,PASSED
"tap(findTestObject(""User Management/10loginAttempts/android.view.ViewGroup""), 30)",,,,2023-08-14 15:08:37,2023-08-14 15:08:38,0.765s,PASSED
"verifyElementText(findTestObject(""User Management/10loginAttempts/android.widget.TextView - Login failed. Incorrect credentials""), ""Login failed. Incorrect credentials !"")",,,,2023-08-14 15:08:38,2023-08-14 15:08:40,2.175s,PASSED
"tap(findTestObject(""Object Repository/User Management/10loginAttempts/android.widget.Button - OK""), 30)",,,,2023-08-14 15:08:40,2023-08-14 15:08:41,1.046s,PASSED
"tap(findTestObject(""User Management/10loginAttempts/android.view.ViewGroup""), 30)",,,,2023-08-14 15:08:41,2023-08-14 15:08:41,0.513s,PASSED
"verifyElementText(findTestObject(""User Management/10loginAttempts/android.widget.TextView - Login failed. Incorrect credentials""), ""Login failed. Incorrect credentials !"")",,,,2023-08-14 15:08:41,2023-08-14 15:08:43,1.679s,PASSED
"tap(findTestObject(""Object Repository/User Management/10loginAttempts/android.widget.Button - OK""), 30)",,,,2023-08-14 15:08:43,2023-08-14 15:08:43,0.492s,PASSED
"tap(findTestObject(""User Management/10loginAttempts/android.view.ViewGroup""), 30)",,,,2023-08-14 15:08:43,2023-08-14 15:08:44,0.783s,PASSED
"verifyElementText(findTestObject(""User Management/10loginAttempts/android.widget.TextView - Login failed. Incorrect credentials""), ""Login failed. Incorrect credentials !"")",,,,2023-08-14 15:08:44,2023-08-14 15:08:45,1.244s,PASSED
"tap(findTestObject(""Object Repository/User Management/10loginAttempts/android.widget.Button - OK""), 30)",,,,2023-08-14 15:08:45,2023-08-14 15:08:46,0.440s,PASSED
"tap(findTestObject(""User Management/10loginAttempts/android.view.ViewGroup""), 30)",,,,2023-08-14 15:08:46,2023-08-14 15:08:47,0.738s,PASSED
