Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User Management,,,,2023-08-17 09:57:46,2023-08-17 10:02:47,5m - 0.991s,FAILED
,,,,,,,
Test Cases/User Managemenet/Privacy Terms and Conditions,,,,2023-08-17 10:00:32,2023-08-17 10:01:06,34.458s,FAILED
"startApplication(APK, true)",,,,2023-08-17 10:00:32,2023-08-17 10:01:06,34.424s,FAILED
,,,,,,,
Test Cases/User Managemenet/Restore Password,,,,2023-08-17 10:01:10,2023-08-17 10:01:10,0.331s,FAILED
"tap(findTestObject(""Object Repository/User Management/Restore Password/android.widget.TextView - Forgot your password""), 30)",,,,2023-08-17 10:01:10,2023-08-17 10:01:10,0.304s,PASSED
,,,,,,,
Test Cases/User Managemenet/10loginTestAttempts,,,,2023-08-17 10:01:13,2023-08-17 10:01:13,0.315s,FAILED
"setText(findTestObject(""User Management/Login/android.widget.EditText - username""), ""Test10times"", 30)",,,,2023-08-17 10:01:13,2023-08-17 10:01:13,0.271s,PASSED
,,,,,,,
Test Cases/User Managemenet/Login,,,,2023-08-17 10:02:29,2023-08-17 10:02:38,9.166s,FAILED
"startApplication(APK, false)",,,,2023-08-17 10:02:29,2023-08-17 10:02:38,9.144s,FAILED
,,,,,,,
Test Cases/User Managemenet/Logout,,,,2023-08-17 10:02:41,2023-08-17 10:02:41,0.389s,FAILED
"tap(findTestObject(""Object Repository/User Management/Logout/android.widget.ImageView - menu""), 0)",,,,2023-08-17 10:02:41,2023-08-17 10:02:41,0.333s,PASSED
,,,,,,,
Test Cases/User Managemenet/Login as user with multiple sites,,,,2023-08-17 10:02:44,2023-08-17 10:02:44,0.452s,FAILED
"setText(findTestObject(""Object Repository/User Management/Login as user with multiple sites/android.widget.EditText - username""), ""KatalonSite"", 30)",,,,2023-08-17 10:02:44,2023-08-17 10:02:44,0.401s,PASSED
,,,,,,,
Test Cases/User Managemenet/Auto-logout,,,,2023-08-17 10:02:47,2023-08-17 10:02:47,0.248s,FAILED
"tap(findTestObject(""User Management/Auto-Logout/android.widget.ImageView - Menu (1)""), 30)",,,,2023-08-17 10:02:47,2023-08-17 10:02:47,0.205s,PASSED
