Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Menu and other services,,,,2023-08-13 17:32:18,2023-08-13 17:32:35,16.492s,FAILED
,,,,,,,
Test Cases/User Managemenet/Login,,,,2023-08-13 17:32:23,2023-08-13 17:32:23,0.164s,FAILED
"setText(findTestObject(""User Management/Login/android.widget.EditText - username""), LoginCreds.get(""username""), 30)",,,,2023-08-13 17:32:23,2023-08-13 17:32:23,0.136s,PASSED
,,,,,,,
Test Cases/Menu and other services/Switch between sites,,,,2023-08-13 17:32:25,2023-08-13 17:32:25,0.184s,FAILED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-08-13 17:32:25,2023-08-13 17:32:25,0.159s,PASSED
,,,,,,,
Test Cases/Menu and other services/About,,,,2023-08-13 17:32:27,2023-08-13 17:32:27,0.226s,FAILED
"tap(findTestObject(""Object Repository/Menu and other services/About/android.widget.ImageView - Menu""), 30)",,,,2023-08-13 17:32:27,2023-08-13 17:32:27,0.202s,PASSED
,,,,,,,
Test Cases/Menu and other services/Automatic adjustment of Date format,,,,2023-08-13 17:32:29,2023-08-13 17:32:29,0.319s,FAILED
"date = getText(findTestObject(""Object Repository/Menu and other services/Automatic adjustment of Date format/android.widget.TextView - 27072023""), 30, STOP_ON_FAILURE)",,,,2023-08-13 17:32:29,2023-08-13 17:32:29,0.284s,PASSED
,,,,,,,
Test Cases/Menu and other services/Phone general tuto,,,,2023-08-13 17:32:31,2023-08-13 17:32:31,0.219s,FAILED
"tap(findTestObject(""Object Repository/Menu and other services/Phone General Tuto/android.widget.ImageView - Menu""), 30)",,,,2023-08-13 17:32:31,2023-08-13 17:32:31,0.197s,PASSED
,,,,,,,
Test Cases/Menu and other services/Language,,,,2023-08-13 17:32:33,2023-08-13 17:32:33,0.174s,FAILED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.widget.ImageView - Menu""), 30)",,,,2023-08-13 17:32:33,2023-08-13 17:32:33,0.154s,PASSED
,,,,,,,
Test Cases/Menu and other services/Help,,,,2023-08-13 17:32:35,2023-08-13 17:32:35,0.144s,FAILED
"tap(findTestObject(""Object Repository/Menu and other services/Help/android.widget.ImageView - Menu""), 30)",,,,2023-08-13 17:32:35,2023-08-13 17:32:35,0.124s,PASSED
