Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Menu and other services,,,,2023-08-14 15:21:47,2023-08-14 15:24:44,2m - 57.397s,PASSED
,,,,,,,
Test Cases/User Managemenet/Login,,,,2023-08-14 15:21:47,2023-08-14 15:22:34,46.294s,PASSED
"startApplication(APK, false)",,,,2023-08-14 15:21:49,2023-08-14 15:22:19,30.505s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - username""), LoginCreds.get(""username""), 30)",,,,2023-08-14 15:22:19,2023-08-14 15:22:23,4.323s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - password""), LoginCreds.get(""password""), 30)",,,,2023-08-14 15:22:23,2023-08-14 15:22:25,1.304s,PASSED
"tap(findTestObject(""User Management/Login/android.view.ViewGroup - sign in""), 30)",,,,2023-08-14 15:22:25,2023-08-14 15:22:26,0.846s,PASSED
"tap(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Katalon""), 30)",,,,2023-08-14 15:22:26,2023-08-14 15:22:28,1.993s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-08-14 15:22:28,2023-08-14 15:22:30,2.118s,PASSED
"verifyElementExist(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Patient Directory""), 30)",,,,2023-08-14 15:22:30,2023-08-14 15:22:34,3.901s,PASSED
,,,,,,,
Test Cases/Menu and other services/Switch between sites,,,,2023-08-14 15:22:34,2023-08-14 15:23:02,28.039s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-08-14 15:22:35,2023-08-14 15:22:35,0.546s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-08-14 15:22:35,2023-08-14 15:22:37,1.795s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Test1""), 30)",,,,2023-08-14 15:22:37,2023-08-14 15:22:38,1.046s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-08-14 15:22:38,2023-08-14 15:22:46,8.304s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-08-14 15:22:46,2023-08-14 15:22:48,1.685s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - site user""), 30)",,,,2023-08-14 15:22:48,2023-08-14 15:22:49,1.320s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-08-14 15:22:49,2023-08-14 15:22:59,9.759s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-08-14 15:22:59,2023-08-14 15:23:01,1.732s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Katalon""), 30)",,,,2023-08-14 15:23:01,2023-08-14 15:23:02,0.845s,PASSED
,,,,,,,
Test Cases/Menu and other services/About,,,,2023-08-14 15:23:02,2023-08-14 15:23:22,20.390s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/About/android.widget.ImageView - Menu""), 30)",,,,2023-08-14 15:23:03,2023-08-14 15:23:14,11.540s,PASSED
