Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Menu and other services,,,,2023-07-31 11:20:32,2023-07-31 11:22:03,1m - 31.424s,PASSED
,,,,,,,
Test Cases/User Managemenet/Login,,,,2023-07-31 11:20:33,2023-07-31 11:21:24,51.183s,PASSED
"startApplication(""C:\Users\Amarir\Downloads\APK\IS\app-release.apk"", true)",,,,2023-07-31 11:20:33,2023-07-31 11:21:06,32.761s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - username""), LoginCreds.get(""username""), 30)",,,,2023-07-31 11:21:06,2023-07-31 11:21:17,10.871s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - password""), LoginCreds.get(""password""), 30)",,,,2023-07-31 11:21:17,2023-07-31 11:21:19,1.678s,PASSED
"tap(findTestObject(""User Management/Login/android.view.ViewGroup - sign in""), 30)",,,,2023-07-31 11:21:19,2023-07-31 11:21:20,0.760s,PASSED
"tap(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Katalon""), 30)",,,,2023-07-31 11:21:20,2023-07-31 11:21:21,1.806s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-07-31 11:21:21,2023-07-31 11:21:23,2.095s,PASSED
"verifyElementExist(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Patient Directory""), 30)",,,,2023-07-31 11:21:23,2023-07-31 11:21:24,0.336s,PASSED
,,,,,,,
Test Cases/Menu and other services/Switch between sites,,,,2023-07-31 11:21:24,2023-07-31 11:21:40,16.684s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-07-31 11:21:24,2023-07-31 11:21:25,0.349s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-07-31 11:21:25,2023-07-31 11:21:26,1.803s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Test1""), 30)",,,,2023-07-31 11:21:26,2023-07-31 11:21:27,0.881s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-07-31 11:21:27,2023-07-31 11:21:31,4.074s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-07-31 11:21:31,2023-07-31 11:21:33,1.685s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - site user""), 30)",,,,2023-07-31 11:21:33,2023-07-31 11:21:34,0.832s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-07-31 11:21:34,2023-07-31 11:21:38,3.972s,PASSED
