Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User Management,,,,2023-08-13 17:22:49,2023-08-13 17:30:42,7m - 53.562s,PASSED
,,,,,,,
Test Cases/User Managemenet/Privacy Terms and Conditions,,,,2023-08-13 17:22:49,2023-08-13 17:25:51,3m - 1.569s,PASSED
"startApplication(APK, true)",,,,2023-08-13 17:22:51,2023-08-13 17:23:35,44.291s,PASSED
"verifyElementText(findTestObject(""Object Repository/User Management/Privacy Terms and conditions/android.widget.TextView - Terms  Conditions""), ""Terms & Conditions"")",,,,2023-08-13 17:23:35,2023-08-13 17:24:05,30.393s,PASSED
"verifyElementText(findTestObject(""Object Repository/User Management/Privacy Terms and conditions/android.widget.TextView - Privacy Policy""), ""Privacy Policy"")",,,,2023-08-13 17:24:05,2023-08-13 17:24:36,30.299s,PASSED
"tap(findTestObject(""User Management/Privacy Terms and conditions/android.widget.TextView - Terms  Conditions""), 30)",,,,2023-08-13 17:24:36,2023-08-13 17:25:06,30.370s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-08-13 17:25:06,2023-08-13 17:25:11,5.141s,PASSED
"verifyElementText(findTestObject(""User Management/Privacy Terms and conditions/android.widget.TextView - Terms and Conditions""), ""Terms and Conditions"")",,,,2023-08-13 17:25:11,2023-08-13 17:25:12,0.848s,PASSED
pressBack(),,,,2023-08-13 17:25:12,2023-08-13 17:25:13,1.192s,PASSED
"tap(findTestObject(""User Management/Privacy Terms and conditions/android.widget.TextView - Privacy Policy""), 30)",,,,2023-08-13 17:25:13,2023-08-13 17:25:44,30.360s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-08-13 17:25:44,2023-08-13 17:25:49,5.009s,PASSED
"verifyElementText(findTestObject(""Object Repository/User Management/Privacy Terms and conditions/android.widget.TextView - Privacy Policy (1)""), ""Privacy Policy"")",,,,2023-08-13 17:25:49,2023-08-13 17:25:50,1.390s,PASSED
pressBack(),,,,2023-08-13 17:25:50,2023-08-13 17:25:51,0.997s,PASSED
,,,,,,,
Test Cases/User Managemenet/Restore Password,,,,2023-08-13 17:25:51,2023-08-13 17:25:57,6.139s,PASSED
"tap(findTestObject(""Object Repository/User Management/Restore Password/android.widget.TextView - Forgot your password""), 30)",,,,2023-08-13 17:25:52,2023-08-13 17:25:53,0.562s,PASSED
