Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Menu and other services,,,,2023-07-31 11:09:14,2023-07-31 11:10:43,1m - 28.471s,PASSED
,,,,,,,
Test Cases/User Managemenet/Login,,,,2023-07-31 11:09:15,2023-07-31 11:10:03,47.706s,PASSED
"startApplication(""C:\Users\Amarir\Downloads\APK\IS\app-release.apk"", true)",,,,2023-07-31 11:09:16,2023-07-31 11:09:50,34.417s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - username""), LoginCreds.get(""username""), 30)",,,,2023-07-31 11:09:50,2023-07-31 11:09:56,5.586s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - password""), LoginCreds.get(""password""), 30)",,,,2023-07-31 11:09:56,2023-07-31 11:09:57,1.238s,PASSED
"tap(findTestObject(""User Management/Login/android.view.ViewGroup - sign in""), 30)",,,,2023-07-31 11:09:57,2023-07-31 11:10:00,2.413s,PASSED
"tap(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Katalon""), 30)",,,,2023-07-31 11:10:00,2023-07-31 11:10:00,0.366s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-07-31 11:10:00,2023-07-31 11:10:02,2.078s,PASSED
"verifyElementExist(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Patient Directory""), 30)",,,,2023-07-31 11:10:02,2023-07-31 11:10:03,0.707s,PASSED
,,,,,,,
Test Cases/Menu and other services/Switch between sites,,,,2023-07-31 11:10:03,2023-07-31 11:10:20,17.070s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-07-31 11:10:03,2023-07-31 11:10:04,0.350s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-07-31 11:10:04,2023-07-31 11:10:06,1.810s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Test1""), 30)",,,,2023-07-31 11:10:06,2023-07-31 11:10:06,0.907s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-07-31 11:10:06,2023-07-31 11:10:11,4.131s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-07-31 11:10:11,2023-07-31 11:10:12,1.626s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - site user""), 30)",,,,2023-07-31 11:10:12,2023-07-31 11:10:13,0.901s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-07-31 11:10:13,2023-07-31 11:10:17,4.097s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-07-31 11:10:17,2023-07-31 11:10:19,1.678s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Katalon""), 30)",,,,2023-07-31 11:10:19,2023-07-31 11:10:20,0.877s,PASSED
,,,,,,,
Test Cases/Menu and other services/About,,,,2023-07-31 11:10:20,2023-07-31 11:10:31,11.741s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/About/android.widget.ImageView - Menu""), 30)",,,,2023-07-31 11:10:20,2023-07-31 11:10:24,4.117s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/About/android.widget.TextView - About""), 30)",,,,2023-07-31 11:10:24,2023-07-31 11:10:26,1.692s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/About/android.widget.TextView - Katalon""), ""Katalon"")",,,,2023-07-31 11:10:26,2023-07-31 11:10:27,1.174s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/About/android.widget.TextView - Katalon (1)""), ""Katalon"")",,,,2023-07-31 11:10:27,2023-07-31 11:10:28,0.260s,PASSED
"scrollToText(""UDI"")",,,,2023-07-31 11:10:28,2023-07-31 11:10:31,3.292s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/About/android.widget.TextView - 2.1""), ""2.1"")",,,,2023-07-31 11:10:31,2023-07-31 11:10:31,0.320s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/About/android.widget.ImageView - close""), 30)",,,,2023-07-31 11:10:31,2023-07-31 11:10:31,0.321s,PASSED
,,,,,,,
Test Cases/Menu and other services/Automatic adjustment of Date format,,,,2023-07-31 11:10:32,2023-07-31 11:10:43,11.350s,PASSED
"date = getText(findTestObject(""Object Repository/Menu and other services/Automatic adjustment of Date format/android.widget.TextView - 27072023""), 30, STOP_ON_FAILURE)",,,,2023-07-31 11:10:32,2023-07-31 11:10:33,0.479s,PASSED
"verifyMatch(date, ""[0-9]{2}/[0-9]{2}/[0-9]{4}"", true, STOP_ON_FAILURE)",,,,2023-07-31 11:10:33,2023-07-31 11:10:33,0.018s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Automatic adjustment of Date format/android.widget.ImageView - Menu""), 30)",,,,2023-07-31 11:10:33,2023-07-31 11:10:33,0.330s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Automatic adjustment of Date format/android.widget.TextView - Site""), 30)",,,,2023-07-31 11:10:33,2023-07-31 11:10:35,1.699s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Automatic adjustment of Date format/android.widget.TextView - site user""), 30)",,,,2023-07-31 11:10:35,2023-07-31 11:10:36,0.922s,PASSED
"date1 = getText(findTestObject(""Menu and other services/Automatic adjustment of Date format/android.widget.TextView - 20230727""), 30)",,,,2023-07-31 11:10:36,2023-07-31 11:10:40,4.474s,PASSED
"verifyMatch(date1, ""[0-9]{4}/[0-9]{2}/[0-9]{2}"", true, STOP_ON_FAILURE)",,,,2023-07-31 11:10:40,2023-07-31 11:10:40,0.007s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Automatic adjustment of Date format/android.widget.ImageView - Menu""), 30)",,,,2023-07-31 11:10:40,2023-07-31 11:10:40,0.321s,PASSED
"tap(findTestObject(""Menu and other services/Automatic adjustment of Date format/android.widget.TextView - Site""), 30)",,,,2023-07-31 11:10:40,2023-07-31 11:10:42,1.683s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Automatic adjustment of Date format/android.widget.TextView - Katalon""), 30)",,,,2023-07-31 11:10:42,2023-07-31 11:10:43,0.835s,PASSED
