Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Menu and other services,,,,2023-08-13 17:33:22,2023-08-13 17:33:46,24.902s,FAILED
,,,,,,,
Test Cases/User Managemenet/Login,,,,2023-08-13 17:33:28,2023-08-13 17:33:28,0.384s,FAILED
"setText(findTestObject(""User Management/Login/android.widget.EditText - username""), LoginCreds.get(""username""), 30)",,,,2023-08-13 17:33:28,2023-08-13 17:33:28,0.326s,PASSED
,,,,,,,
Test Cases/Menu and other services/Switch between sites,,,,2023-08-13 17:33:31,2023-08-13 17:33:32,0.393s,FAILED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-08-13 17:33:31,2023-08-13 17:33:31,0.341s,PASSED
,,,,,,,
Test Cases/Menu and other services/About,,,,2023-08-13 17:33:34,2023-08-13 17:33:34,0.349s,FAILED
"tap(findTestObject(""Object Repository/Menu and other services/About/android.widget.ImageView - Menu""), 30)",,,,2023-08-13 17:33:34,2023-08-13 17:33:34,0.322s,PASSED
,,,,,,,
Test Cases/Menu and other services/Automatic adjustment of Date format,,,,2023-08-13 17:33:37,2023-08-13 17:33:37,0.270s,FAILED
"date = getText(findTestObject(""Object Repository/Menu and other services/Automatic adjustment of Date format/android.widget.TextView - 27072023""), 30, STOP_ON_FAILURE)",,,,2023-08-13 17:33:37,2023-08-13 17:33:37,0.239s,PASSED
,,,,,,,
Test Cases/Menu and other services/Phone general tuto,,,,2023-08-13 17:33:40,2023-08-13 17:33:40,0.589s,FAILED
"tap(findTestObject(""Object Repository/Menu and other services/Phone General Tuto/android.widget.ImageView - Menu""), 30)",,,,2023-08-13 17:33:40,2023-08-13 17:33:40,0.515s,PASSED
,,,,,,,
Test Cases/Menu and other services/Language,,,,2023-08-13 17:33:43,2023-08-13 17:33:44,0.360s,FAILED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.widget.ImageView - Menu""), 30)",,,,2023-08-13 17:33:43,2023-08-13 17:33:44,0.335s,PASSED
,,,,,,,
Test Cases/Menu and other services/Help,,,,2023-08-13 17:33:46,2023-08-13 17:33:46,0.237s,FAILED
"tap(findTestObject(""Object Repository/Menu and other services/Help/android.widget.ImageView - Menu""), 30)",,,,2023-08-13 17:33:46,2023-08-13 17:33:46,0.207s,PASSED
