Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Menu and other services,,,,2023-07-31 12:17:21,2023-07-31 12:19:33,2m - 11.972s,PASSED
,,,,,,,
Test Cases/User Managemenet/Login,,,,2023-07-31 12:17:21,2023-07-31 12:18:18,57.078s,PASSED
"startApplication(""C:\Users\Amarir\Downloads\APK\IS\app-release.apk"", true)",,,,2023-07-31 12:17:22,2023-07-31 12:18:08,45.719s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - username""), LoginCreds.get(""username""), 30)",,,,2023-07-31 12:18:08,2023-07-31 12:18:12,4.014s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - password""), LoginCreds.get(""password""), 30)",,,,2023-07-31 12:18:12,2023-07-31 12:18:13,1.225s,PASSED
"tap(findTestObject(""User Management/Login/android.view.ViewGroup - sign in""), 30)",,,,2023-07-31 12:18:13,2023-07-31 12:18:14,0.755s,PASSED
"tap(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Katalon""), 30)",,,,2023-07-31 12:18:14,2023-07-31 12:18:16,1.788s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-07-31 12:18:16,2023-07-31 12:18:18,2.104s,PASSED
"verifyElementExist(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Patient Directory""), 30)",,,,2023-07-31 12:18:18,2023-07-31 12:18:18,0.406s,PASSED
,,,,,,,
Test Cases/Menu and other services/Switch between sites,,,,2023-07-31 12:18:18,2023-07-31 12:18:36,17.788s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-07-31 12:18:19,2023-07-31 12:18:19,0.479s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-07-31 12:18:19,2023-07-31 12:18:21,1.764s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Test1""), 30)",,,,2023-07-31 12:18:21,2023-07-31 12:18:22,0.886s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-07-31 12:18:22,2023-07-31 12:18:26,4.362s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-07-31 12:18:26,2023-07-31 12:18:28,1.667s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - site user""), 30)",,,,2023-07-31 12:18:28,2023-07-31 12:18:29,0.908s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-07-31 12:18:29,2023-07-31 12:18:34,4.579s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-07-31 12:18:34,2023-07-31 12:18:35,1.620s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Katalon""), 30)",,,,2023-07-31 12:18:35,2023-07-31 12:18:36,0.838s,PASSED
,,,,,,,
Test Cases/Menu and other services/About,,,,2023-07-31 12:18:36,2023-07-31 12:18:48,12.217s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/About/android.widget.ImageView - Menu""), 30)",,,,2023-07-31 12:18:37,2023-07-31 12:18:41,4.265s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/About/android.widget.TextView - About""), 30)",,,,2023-07-31 12:18:41,2023-07-31 12:18:43,1.702s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/About/android.widget.TextView - Katalon""), ""Katalon"")",,,,2023-07-31 12:18:43,2023-07-31 12:18:44,1.190s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/About/android.widget.TextView - Katalon (1)""), ""Katalon"")",,,,2023-07-31 12:18:44,2023-07-31 12:18:44,0.274s,PASSED
"scrollToText(""UDI"")",,,,2023-07-31 12:18:44,2023-07-31 12:18:48,3.329s,PASSED
