Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Menu and other services,,,,2023-08-17 09:57:52,2023-08-17 10:01:42,3m - 49.960s,FAILED
,,,,,,,
Test Cases/User Managemenet/Login,,,,2023-08-17 10:00:51,2023-08-17 10:01:04,13.288s,FAILED
"startApplication(APK, false)",,,,2023-08-17 10:00:51,2023-08-17 10:01:04,13.223s,FAILED
,,,,,,,
Test Cases/Menu and other services/Switch between sites,,,,2023-08-17 10:01:09,2023-08-17 10:01:10,1.301s,FAILED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-08-17 10:01:09,2023-08-17 10:01:10,1.279s,FAILED
,,,,,,,
Test Cases/Menu and other services/About,,,,2023-08-17 10:01:14,2023-08-17 10:01:15,0.969s,FAILED
"tap(findTestObject(""Object Repository/Menu and other services/About/android.widget.ImageView - Menu""), 30)",,,,2023-08-17 10:01:14,2023-08-17 10:01:15,0.949s,FAILED
,,,,,,,
Test Cases/Menu and other services/Automatic adjustment of Date format,,,,2023-08-17 10:01:20,2023-08-17 10:01:22,1.205s,FAILED
"date = getText(findTestObject(""Object Repository/Menu and other services/Automatic adjustment of Date format/android.widget.TextView - 27072023""), 30, STOP_ON_FAILURE)",,,,2023-08-17 10:01:20,2023-08-17 10:01:22,1.184s,FAILED
,,,,,,,
Test Cases/Menu and other services/Phone general tuto,,,,2023-08-17 10:01:29,2023-08-17 10:01:30,1.379s,FAILED
"tap(findTestObject(""Object Repository/Menu and other services/Phone General Tuto/android.widget.ImageView - Menu""), 30)",,,,2023-08-17 10:01:29,2023-08-17 10:01:30,1.361s,FAILED
,,,,,,,
Test Cases/Menu and other services/Language,,,,2023-08-17 10:01:36,2023-08-17 10:01:37,0.903s,FAILED
"tap(findTestObject(""Object Repository/Menu and other services/Language/android.widget.ImageView - Menu""), 30)",,,,2023-08-17 10:01:36,2023-08-17 10:01:37,0.884s,FAILED
,,,,,,,
Test Cases/Menu and other services/Help,,,,2023-08-17 10:01:41,2023-08-17 10:01:42,0.785s,FAILED
"tap(findTestObject(""Object Repository/Menu and other services/Help/android.widget.ImageView - Menu""), 30)",,,,2023-08-17 10:01:41,2023-08-17 10:01:42,0.764s,FAILED
