Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Menu and other services,,,,2023-07-31 15:16:33,2023-07-31 15:18:59,2m - 25.888s,PASSED
,,,,,,,
Test Cases/User Managemenet/Login,,,,2023-07-31 15:16:34,2023-07-31 15:17:26,52.744s,PASSED
"startApplication(""C:\Users\Amarir\Downloads\APK\IS\app-release.apk"", true)",,,,2023-07-31 15:16:35,2023-07-31 15:17:16,40.758s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - username""), LoginCreds.get(""username""), 30)",,,,2023-07-31 15:17:16,2023-07-31 15:17:20,4.123s,PASSED
"setText(findTestObject(""User Management/Login/android.widget.EditText - password""), LoginCreds.get(""password""), 30)",,,,2023-07-31 15:17:20,2023-07-31 15:17:21,1.283s,PASSED
"tap(findTestObject(""User Management/Login/android.view.ViewGroup - sign in""), 30)",,,,2023-07-31 15:17:21,2023-07-31 15:17:22,0.758s,PASSED
"tap(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Katalon""), 30)",,,,2023-07-31 15:17:22,2023-07-31 15:17:24,1.803s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-07-31 15:17:24,2023-07-31 15:17:26,2.079s,PASSED
"verifyElementExist(findTestObject(""Object Repository/User Management/Login/android.widget.TextView - Patient Directory""), 30)",,,,2023-07-31 15:17:26,2023-07-31 15:17:26,0.854s,PASSED
,,,,,,,
Test Cases/Menu and other services/Switch between sites,,,,2023-07-31 15:17:26,2023-07-31 15:17:44,17.676s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-07-31 15:17:27,2023-07-31 15:17:28,0.403s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-07-31 15:17:28,2023-07-31 15:17:29,1.770s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - Test1""), 30)",,,,2023-07-31 15:17:29,2023-07-31 15:17:30,0.930s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.ImageView - Menu""), 30)",,,,2023-07-31 15:17:30,2023-07-31 15:17:34,4.121s,PASSED
"tap(findTestObject(""Menu and other services/Switch between sites/android.widget.TextView - Site""), 30)",,,,2023-07-31 15:17:34,2023-07-31 15:17:36,1.683s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Switch between sites/android.widget.TextView - site user""), 30)",,,,2023-07-31 15:17:36,2023-07-31 15:17:37,0.819s,PASSED
